Siglas de la Institución,Institución,Nombre de la UC,Código del expediente,Clave CUCOP,Título del expediente,Número del procedimiento,Fecha de fallo,Fecha de publicación,Fecha de apertura,Carácter del procedimiento,Tipo de contratación,Tipo de procedimiento,Forma de participación,Código del contrato,Título del contrato,Descripción del contrato,Fecha de inicio del contrato,Fecha de fin del contrato,Importe del contrato,Moneda del contrato,Estatus del contrato,Convenio modificatorio,Contrato plurianual,RFC,Proveedor o contratista,Estratificación de la empresa,Clave del país de la empresa,Dirección del anuncio
JAL,_Gobierno del Estado de Jalisco,"JAL-Comisión Estatal del Agua-Dirección Administrativa, Jurídico e Innovación #914029972",2188153,5310,ADQUISICIÓN DE EQUIPAMIENTO Y/O INSTRUMENTACIÓN DE LABORATORIO,IA-914029972-E7-2020,2020-12-03,2020-11-23 14:54,2020-11-30 11:00,Nacional,Adquisiciones,INVITACIÓN A CUANDO MENOS 3 PERSONAS,Presencial,2423681,ADQUISICIÓN DE EQUIPAMIENTO Y/O INSTRUMENTACIÓN DE LABORATORIO,"ADQUISICIÓN DE EQUIPAMIENTO Y/O INSTRUMENTACIÓN DE LABORATORIO: 

01 PIEZA DE AUTOCLAVE AUTOMÁTICA VERTICAL.

ESPECIFICACIONES: Con capacidad de 40 L 

Con temperatura de control digital y sensor PT100

Con capacidad de almacenamiento mínimo de 4 programas de esterilización. 

Pantalla digital LCD, para observar la temperatura y presión de operación. 

Con temporizador de hasta 99.59 minutos. 

Resolución de 1°C

Elementos calefactores de acero inoxidable tipo inmersión blindados

doble válvula de seguridad

Alarmas para límites alto y bajo de temperatura, detección de fallas y bajas de voltaje. 

Manómetro de carátula

Temperatura máxima: de 13°C.

Presión máxima: 2.1 kg/cm2

Dimensiones de la cámara: 30 cm de diámetro x 60 cm de fondo. 

Dimensiones externas: 66cm de ancho por 40 cm de profundo x 101 cm de alto 

Requerimientos eléctricos: 120 V

Opción de drenado de vapor lento o rápido. 



01 PIEZA DE BALANZA ANALÍTICA, CAPACIDAD 210 G X 0.1 MG DE SENSIBILIDAD. ESPECIFICACIONES:Calibración Interna, Puertas de cristal.

Plato de pesaje de 85 mm de diámetro 

Resolución desde 0.1 mg

Modos de porcentaje y conteo 

Varias unidades de medición

Interfase RS-232C y software WinCT estándar

Gancho para pesar por debajo

200 memorias de datos 

Cumple con Normas GLP/GMP/ISO 



01 PIEZA DE BOMBA DE VACÍO CON DIAFRAGMA DE TEFLÓN, PARA FILTRACIÓN.

ESPECIFICACIONES: 

De la serie 1.10212661

PRESIÓN: 670 mm de Hg y Capacidad de Desplazamiento: 20 L/min. 

Voltaje: 120 V



01 PIEZA DE MICROSCOPIO BINOCULAR PROFESIONAL.GARANTÍA DE 01 AÑO. 

ESPECIFICACIONES: 

Microscopio binocular modelo Primo Starfull-Kohler Axiocam 208C con cámara para la biología, técnica incluida de campo claro y contraste de fase Ph1, 2, 3, fototubo binocular con giro de 360°, oculares de campo amplio 10x/20 Br. Foc. Para la colocación de rejillas para medición, objetivos Plan acromáticos ICS (Sistema de corrección al infinito), sistema de iluminación transmitida 6V30W halógeno, cámara digital Axi",2020-12-11,2020-12-17,124355,MXN,Expirado,0,0,,LAB TECH INSTRUMENTACION SA DE CVABRIR NUEVA VENTANA,,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1917810
INCAN,Instituto Nacional de Cancerología,INCAN-Dirección de Administración #012NBV001,2189031,3540,Servicio de calibración y cetificación para camas de ionización y electrómetros,AA-012NBV001-E579-2020,,2020-11-11 12:34,2020-10-12 10:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2408660,Servicio de calibración y cetificación para caras de ionización y electrómetros,"Servicio de calibración y cetificación para caras de ionización y electrómetros

 ",2020-10-12,2020-12-31,732500,MXN,Expirado,0,0,EME7905301M7,ELECTRONICA Y MEDICINA SA,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1915101
INCAN,Instituto Nacional de Cancerología,INCAN-Dirección de Administración #012NBV001,2188475,3540,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO CON REFACCIONES PARA EL ION PG,AA-012NBV001-E569-2020,,2020-11-10 10:42,2020-10-09 00:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Mixta,2408071,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO CON REFACCIONES PARA EL ION PGM SYSTEM Y EL ION ONETOUCH 2.0 SYSTEM DE LA MARCA THERMOFISHER SCIENTIFIC,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO CON REFACCIONES PARA EL ION PGM SYSTEM Y EL ION ONETOUCH 2.0 SYSTEM DE LA MARCA THERMOFISHER SCIENTIFIC,2020-10-15,2020-12-31,197684,MXN,Expirado,0,0,ABM9905262R0,APPLIED BIOSYSTEMS DE MEXICO S DE RL DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1914651
CINVESTAV,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,CINVESTAV-Subdirección de Recursos Materiales #011L4J995,2167311,5310,ADQUISICIÓN DE EQUIPO DE LABORATORIO,AA-011L4J995-E773-2020,,2020-12-28 14:56,2020-10-01 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2408674,ADQUISICIÓN DE EQUIPO DE LABORATORIO,"EQUIPO DIGITAL DE FOTO LITOGRAFIA ULTRAVIOLETA



CUENTA CON UNLASER UV 405 NM DE ALTA POTENCIA 500 M W CONTROLADO MEDIANTE UN PAR DE ESPEJOS GALVANOMETRICOS PARA EL POSICIONAMIENTO DEL SPOT DEL HAZ LASER",2020-10-02,2020-11-16,77550,MXN,Expirado,0,0,,ALEJANDRO JOSE GIMENEZ GOMEZ,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1930801
INCAN,Instituto Nacional de Cancerología,INCAN-Dirección de Administración #012NBV001,2170115,3540,SERVICIO DE MANTENIMIENTO DEL EQUIPO IRRADIADOR DE SANGRE,AA-012NBV001-E510-2020,,2020-10-07 16:36,2020-10-08 16:30,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2406612,"SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL EQUIPO IRRADIADOR DE SANGRE Y COMPONENTES SANGUÍNEOS  MARCA GSM, MODELO BIOBEAM 2000","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL EQUIPO IRRADIADOR DE SANGRE Y COMPONENTES SANGUÍNEOS  MARCA GSM, MODELO BIOBEAM 2000",2020-10-15,2020-12-31,241020.2,MXN,Expirado,0,0,IEF7911291F4,INSTRUMENTOS Y EQUIPOS FALCON SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1898368
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2188307,2950,ADQUISICION DE BATERIAS PARA MONITOR,AA-012NCD001-E627-2020,,2020-11-09 16:50,2020-10-23 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2407880,ADQUISICION DE BATERIAS PARA MONITOR,ADQUISICION DE BATERIAS PARA MONITOR,2020-10-23,2020-12-31,175192.5,MXN,Expirado,0,0,SBI180305SYA,SERVICIOS BIOMEDICOS INTEGRALES CRUGA SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1914483
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2188301,2950,BATERIAS PARA DESFIBRILADOR,AA-012NCD001-E625-2020,,2020-11-09 16:48,2020-10-23 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2407872,BATERIAS PARA DESFIBRILADOR ,BATERIAS PARA DESFIBRILADOR ,2020-10-23,2020-12-31,175192.5,MXN,Expirado,0,0,SBI180305SYA,SERVICIOS BIOMEDICOS INTEGRALES CRUGA SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1914474
IPICYT,"Instituto Potosino de Investigación Científica y Tecnológica, A.C.",IPICYT-Dirección de Administración y Finanzas #03891W001,2180811,3540,Servicio de Mantenimiento a Equipo de Laboratorio,AA-03891W001-E406-2020,,2020-10-26 12:59,2020-10-29 13:30,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Mixta,2408216,Servicio de mantenimiento a analizador genético,Servicio de mantenimiento a analizador genético,2020-11-06,2020-11-27,34482.76,MXN,Expirado,0,0,ICO000407IS0,IVG COMERCIALIZADORA SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1908034
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Adquisición de Bienes y Contratación de Servicios #050GYR033,2188481,2950,AA-050GYR033-E246-2020 CONSUMIBLES PARA VENTILADORES CONTIGENCIA COVID 2ª COMPRA,AA-050GYR033-E246-2020,,2020-11-10 15:43,2020-11-13 09:00,Internacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2410497,D200022,"CONSUMIBLES PARA VENTILADORES CONTIGENCIA COVID 2ª COMPRA"" Y “CONSUMIBLES PARA VENTILADORES DEL HGZ 83 (HOSPITAL COVID)”, DENTRO DEL EJERCICIO 2020",2020-11-13,2020-12-31,385000,MXN,Expirado,0,0,SBB080710QN0,SERVICIOS BIOMEDICOS BAZAFI SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1914842
CINVESTAV,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,CINVESTAV-Subdirección de Recursos Materiales #011L4J995,2167323,5310,ADQUISICIÓN DE EQUIPO DE LABORATORIO,AA-011L4J995-E762-2020,,2021-10-21 11:35,2020-10-01 13:32,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2408246,ADQUISICIÓN DE EQUIPO DE LABORATORIO,"-SENSOR DE FLUJO DE CALOR, MARCA GREEN TEG MODELO GSKIN XP -TARJETA DE CONTROL DE TEMPERATURA POR PWM 

-TERMISOR 15 K OHMS A 25 °C 

-MICRO MODULO PELTIER SELLADO 

-ELIMINADOR DE VOLTAJE PATRA TC-48-20-OEM

",2020-10-02,2020-11-16,70370.72,MXN,Expirado,0,0,GET120309RI5,GETLABS SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1914764
QRO,_Gobierno Municipal del Estado de Querétaro,QRO-Querétaro-Dirección de Adquisiciones y Contratación de Bienes y Servicios #822014999,2159177,2950,"IF-002/2020 KIT DE PRIMERA INTERVENCION PARA OFICIAL PIE TIERRA, FORTASEG 2020",IA-822014999-E13-2020,2020-10-12,2020-09-15 13:03,2020-09-25 13:00,Nacional,Adquisiciones,INVITACIÓN A CUANDO MENOS 3 PERSONAS,Presencial,2401920,"IF-002/2020 KIT DE PRIMERA INTERVENCION PARA OFICIAL PIE TIERRA, FORTASEG 2020","IF-002/2020 KIT DE PRIMERA INTERVENCION PARA OFICIAL PIE TIERRA, FORTASEG 2020",2020-10-12,2020-11-26,340470,MXN,Expirado,0,0,,TOOLS & SERVICES DE MEXICO SA DE CV,,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1889248
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Adquisición de Bienes y Contratación de Servicios #050GYR033,2188481,2950,AA-050GYR033-E246-2020 CONSUMIBLES PARA VENTILADORES CONTIGENCIA COVID 2ª COMPRA,AA-050GYR033-E246-2020,,2020-11-10 15:43,2020-11-13 09:00,Internacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2410514,D200023,"CONSUMIBLES PARA VENTILADORES CONTIGENCIA COVID 2ª COMPRA"" Y “CONSUMIBLES PARA VENTILADORES DEL HGZ 83 (HOSPITAL COVID)”, DENTRO DEL EJERCICIO 2020",2020-11-13,2020-12-31,100381,MXN,Expirado,0,0,SIM881017I91,SERVICIOS DE INGENIERIA EN MEDICINA SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1914842
IMSS,Instituto Mexicano del Seguro Social,"IMSS-UMAE Hospital de Especialidades, C.M.N.O. Departamento de Abastecimiento #050GYR020",2180571,5310,ADQUISICION DE MIRCRONEBULIZADORES 2DA VUELTA,AA-050GYR020-E477-2020,,2020-10-26 12:05,2020-10-29 15:00,Internacional bajo TLC,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2407088,ADQUISICION DE MIRCRONEBULIZADORES 2DA VUELTA ,ADQUISICION DE MIRCRONEBULIZADORES ,2020-11-05,2020-11-13,70168,MXN,Expirado,0,0,PGA92012897A,PROMEDICA GARCIA SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1907934
IPICYT,"Instituto Potosino de Investigación Científica y Tecnológica, A.C.",IPICYT-Dirección de Administración y Finanzas #03891W001,2176884,3540,Mantenimiento a Equipo de Purificación de Agua Elix 35,AA-03891W001-E383-2020,,2020-10-16 14:13,2020-10-21 14:30,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Mixta,2411111,Mantenimiento a Equipo de Purificación de Agua Elix 35,Mantenimiento a Equipo de Purificación de Agua Elix 35,2020-11-17,2020-11-19,59938.78,MXN,Expirado,0,0,,ERIC RODRIGUEZ NAVA,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1904256
CINVESTAV,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,CINVESTAV-Subdirección de Recursos Materiales #011L4J995,2162330,5310,ADQUISICION DE EQUIPO DE LABORATORIO ,AA-011L4J995-E766-2020,,2020-11-11 11:55,2020-08-05 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2408579,ADQUISICION DE EQUIPO DE LABORATORIO,"MICROSCOPIO ESTEREOSCOPICO 





CAMARA DIGITAL PARA MICROSCOPIO





MICROSCOPIO TRIOCULAR







SET DE CONSTRASTES",2020-08-06,2020-10-15,123097.38,MXN,Expirado,0,0,,VELAB MICROSCOPIOS SA DE CV,,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1894844
ININ,Instituto Nacional de Investigaciones Nucleares,ININ-Departamento de Adquisiciones #018T0Q001,2184255,5310,Equipo de laboratorio ,AA-018T0Q001-E54-2020,,2020-10-30 13:02,2020-10-23 00:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2401519,Equipo de laboratorio,"Equipo de laboratorio, Sistema completo de microfluidos Dolomite",2020-10-23,2020-12-27,583437,MXN,Expirado,0,0,ASI110602SC4,AUREUS SOLUCIONES INTEGRALES PARA LABORATORIO SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1911080
IMSS,Instituto Mexicano del Seguro Social,IMSS-DA-UADQ-CABCS-DEMM #050GYR040,2167125,5320,AA-050GYR040-E57-2020 Instrumental Médico_Cd. Acuña,AA-050GYR040-E57-2020,,2020-10-02 16:10,2020-10-15 10:00,Internacional,,ADJUDICACIÓN DIRECTA,Electrónica,2409982,20BI0169_DEWIMED_E57,20BI0169_DEWIMED_E57,2020-11-26,2020-12-31,601369.81,MXN,Expirado,0,0,DEW780426CF3,DEWIMED SA,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1896082
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Adquisición de Bienes y Contratación de Servicios #050GYR015,2184395,3540,"AA-050GYR015-E418-2020,SERV DE MTTO A MONITORES DE SIGNOS VITALES Y CARDIOTOCÓGR",AA-050GYR015-E418-2020,,2020-10-30 15:39,2020-10-29 10:00,Internacional bajo TLC,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2401709,"CONTRATO DISTRIBUIDORA INTERNACIONAL HOSPITALARIA, S.A. DE C.V.","partida 1						

No. 	Nombre del equipo	Marca	Modelo	No. De serie	NNI	Ubicación

1	Monitor de signos vitales* 	Medica D	Logicare 2000	2014LC15383	201500006117	HGZ 46

2	Monitor de signos vitales*	Medica D	Logicare 2000	2014LC15414	201500006112	HGZ 46

3	Monitor de signos vitales* 	Medica D	Logicare 2000	2014LC15084	201500006116	HGZ 46

4	Monitor de signos vitales*	Medica D	Logicare 2000	2014LC15128	201500006115	HGZ 46

5	Monitor de signos vitales*	Medica D	Logicare 2000	2014LC15459	201500006114	HGZ 46

6	Monitor de signos vitales*	Medica D	Logicare 2000	2014LC15400	201500006113	HGZ 46

7	Monitor de signos vitales*	Medica D	Logicare 2000	2014LC12364	201500006180	HGZ 46

partida 2						

No. 	Nombre del equipo	Marca	Modelo	No. De serie	NNI	Ubicación

1	Monitor de signos vitales*	Medica D	Vitacare	2010500451	201100013759	HGZ 46

2	Monitor de signos vitales*	Medica D	Vitacare	2010500458	201100013758	HGZ 46

3	Monitor de signos vitales*	Medica D	Vitacare	2010500418	201100013757	HGZ 46

partida 3						

No. 	Nombre del equipo	Marca	Modelo	No. De serie	NNI	Ubicación

1	Monitor de signos vitales*	Datascope	Passport 2	CM15544-C2	S/N	HGZ 46

2	Monitor de signos vitales*	Datascope	Passport 2	CM04685-10	S/N	HGZ 46

partida 4						

No. 	Nombre del equipo	Marca	Modelo	No. De serie	NNI	Ubicación

1	Monitor de signos vitales	Nihon Kohden	BSM-2301K	29560	201080000748	HGZ 46

2	Monitor de signos vitales	Nihon Kohden	BSM-2301K	298362	201080000746	HGSZ 4

partida 5						

No. 	Nombre del equipo	Marca	Modelo	No. De serie	NNI	Ubicación

1	Monitor de signos vitales	Mindray	PM9000  	SN/W34H0482RW	200500013311	HGZ 2

2	Monitor de signos vitales	Mindray	PM9000	W4BH1518IOR	200500013310	HGZ 2

partida 6						

No. 	Nombre del equipo	Marca	Modelo	No. De serie	NNI	Ubicación

1	Monitor de signos vitales 	Waltvick	Zafiro E Series	WMM-0115-1180	201600007705	HGZ 46

2	Monitor de signos vitales 	Waltvick	Zafiro E Series	WMM-0115-1181	201600007706	HGZ 46

3	Monitor de signos vitales 	Waltvick	Zafiro ",2020-10-29,2020-11-06,1452586.2,MXN,Expirado,0,0,DIH020515AZA,DISTRIBUIDORA INTERNACIONAL HOSPITALARIA SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1911243
IMSS,Instituto Mexicano del Seguro Social,IMSS-Coordinación de Abastecimiento y Equipamiento #050GYR031,2192118,2950,AA-050GYR031-E339-2020 ADQUISICIÓN DE CASSETTE RECARGABLE (GFGP) ,AA-050GYR031-E339-2020,,2020-11-20 15:04,2020-11-20 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2414312,ADQUISICIÓN DE CASSETTE RECARGABLE,ADQUISICIÓN DE CASSETTE RECARGABLE,2020-11-20,2020-11-30,38800,MXN,Expirado,0,0,,ALEJANDRO PEREZ ALVAREZ,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1917613
SEDENA,Secretaría de la Defensa Nacional,SEDENA-Subdirección de Adquisiciones #007000999,2113751,5310,ADQ. EQUIPOS AUXILIARES DIAGNOSTICO PARA LA UNIDAD DE ESPECIALIDADES MEDS.,AA-007000999-E281-2020,,2020-05-27 21:11,2020-06-08 12:00,Internacional bajo TLC,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2408536,ADQ. EQUIPOS AUXILIARES DIAGNOSTICO PARA LA UNIDAD DE ESPECIALIDADES MEDS.,ADQ. EQUIPOS AUXILIARES DIAGNOSTICO PARA LA UNIDAD DE ESPECIALIDADES MEDS.,2020-06-08,2020-12-31,14055000,MXN,Expirado,0,0,TEQ600304HL6,TELECOMUNICACION Y EQUIPOS SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1849391
IPICYT,"Instituto Potosino de Investigación Científica y Tecnológica, A.C.",IPICYT-Dirección de Administración y Finanzas #03891W001,2177622,3540,Servicio de Mantenimiento Preventivo para un Sistema de GC-MSD,AA-03891W001-E388-2020,,2020-10-19 13:43,2020-10-22 14:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Mixta,2410013,Servicio de Mantenimiento Preventivo para un Sistema de GC-MSD,Servicio de Mantenimiento Preventivo para un Sistema de GC-MSD,2020-11-13,2020-11-19,130500,MXN,Expirado,0,0,CTG080207223,CENTRO TECNOLOGICO GRAMA SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1904985
COFEPRIS,Comisión Federal para la Protección contra Riesgos Sanitarios,COFEPRIS-Dirección Ejecutiva de Recursos Materiales y Servicios Generales #012S00001,2200469,5310,ADQUISICIÓN DE EQUIPO DE LABORATORIO PARA LA COMISIÓN DE CONTROL ANALÍTICO Y AMP,AA-012S00001-E196-2020,,2020-12-08 20:00,2020-11-27 17:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2420867,ADQUISICIÓN DE EQUIPO DE LABORATORIO PARA LA COMISIÓN DE CONTROL ANALÍTICO Y AMPLIACIÓN DE COBERTURA,"ADQUISICIÓN DE EQUIPO DE LABORATORIO PARA LA COMISIÓN DE CONTROL ANALÍTICO Y AMPLIACIÓN DE COBERTURA



LA ADQUISICIÓN CONSTA DE:



PARTIDA 10 BALANZA PARA BIOTERIO, 2 PZAS

PARTIDA 27 PARRILLA DE CALENTAMIENTO CON AGITACIÓN 200 A 10000 ML, 1 PZA

PARTIDA 28 AGITADOR MÚLTIPLE DE 6 POSICIONES CON CALEFACTOR Y AGITACIÓN INDIVIDUAL, 1 PZA

PARTIDA 36 EQUIPO DE ÍNDICE DE REFRACCIÓN, 1 PZA

PARTIDA 59 CAMPANA DE FLUJO LAMINAR, 1 PZA

",2020-12-01,2021-02-26,741600,MXN,Expirado,1,0,REQ841212FE2,REACTIVOS Y EQUIPO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1924915
COFEPRIS,Comisión Federal para la Protección contra Riesgos Sanitarios,COFEPRIS-Dirección Ejecutiva de Recursos Materiales y Servicios Generales #012S00001,2200374,5310,ADQUISICIÓN DE EQUIPO DE LABORATORIO PARA LA COMISIÓN DE CONTROL ANALÍTICO Y AMP,AA-012S00001-E187-2020,,2020-12-08 16:41,2020-11-27 17:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2420788,ADQUISICIÓN DE EQUIPO DE LABORATORIO PARA LA COMISIÓN DE CONTROL ANALÍTICO Y AMPLIACIÓN DE COBERTURA,"ADQUISICIÓN DE EQUIPO DE LABORATORIO PARA LA COMISIÓN DE CONTROL ANALÍTICO Y AMPLIACIÓN DE COBERTURA



LA ADQUISICIÓN CONSTA DE:



PARTIDA 57 ESPECTROFOTÓMETRO UV-VISIBLE RANGO 190-1100 NM, 1 PZA



PARTIDA 58 SISTEMA CROMATOGRÁFICO HPLC 1260 INFINITY II CON CONTROL DE TEMPERATURA EN AUTOMUESTREADOR, BOMBA CUATERNARIA, DETECTOR DE ARREGLO DE DIODOS Y SOFWARE OPENLAB ECM CDS, 1 PZA

",2020-12-01,2020-12-31,6271850.83,MXN,Expirado,0,0,ATM990909U84,AGILENT TECHNOLOGIES MEXICO,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1924822
IPICYT,"Instituto Potosino de Investigación Científica y Tecnológica, A.C.",IPICYT-Dirección de Administración y Finanzas #03891W001,2176809,3540,Póliza de Mantenimiento Equipo Costech,AA-03891W001-E379-2020,,2020-10-16 13:20,2020-10-21 13:30,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Mixta,2410020,Póliza de Mantenimiento Equipo Costech,Póliza de Mantenimiento Equipo Costech,2020-11-13,2020-11-19,30000,MXN,Expirado,0,0,,JOSE SALVADOR HERNANDEZ HERNANDEZ,,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1904179
INECOL,"Instituto de Ecología, A.C.",INECOL-Subdirección de Bienes y Servicios #03891Q001,2189078,3540,Servicio de mantenimiento por 1 año para el sistema de cromatografía de líquidos,AA-03891Q001-E112-2020,,2020-11-11 14:00,2020-10-26 16:30,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2408713,Servicio de mantenimiento por 1 año para el sistema de cromatografía de líquidos,"Servicio de mantenimiento por 1 año para el sistema de cromatografía de líquidos de ultra alta resolución (UPLC) marca Waters, modelo Acquity Class I con números de serie F14USM 638G, G14CHA 200G y C14BUR 087G, acoplado a un espectrómetro de masas de alta definición marca Waters modelo Synapt G2 Si, con número de serie UGA409 y un generador de nitrógeno marca Peak, modelo NM32LA con número de serie A14-05-326. Todo el sistema tiene como número inventario INECOL el 24162.",2020-11-10,2021-11-09,1181052.65,MXN,Expirado,0,0,WAT940721QR2,WATERS SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1915148
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Adquisición de Bienes y Contratación de Servicios #050GYR029,2156275,5320,ADQUISICIÓN DE INSUMOS DE BAUMANOMETROS Y ESTETOSCOPIOS,AA-050GYR029-E559-2020,,2020-09-08 11:07,2020-09-10 13:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2407255,CONTRATO D200011 ADQUISICIÓN DE INSUMOS DE BAUMANOMETROS Y ESTETOSCOPIOS,CONTRATO D200011 ADQUISICIÓN DE INSUMOS DE BAUMANOMETROS Y ESTETOSCOPIOS,2020-10-10,2021-01-01,47000.4,MXN,Expirado,0,0,SMT010905FL0,SERVICIOS MEDICOS Y TECNICOS SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1886782
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Adquisición de Bienes y Contratación de Servicios #050GYR029,2156275,5320,ADQUISICIÓN DE INSUMOS DE BAUMANOMETROS Y ESTETOSCOPIOS,AA-050GYR029-E559-2020,,2020-09-08 11:07,2020-09-10 13:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2407262,CONTRATO D200012 ADQUISICIÓN DE INSUMOS DE BAUMANOMETROS Y ESTETOSCOPIOS,CONTRATO D200012 ADQUISICIÓN DE INSUMOS DE BAUMANOMETROS Y ESTETOSCOPIOS,2020-10-10,2021-01-01,208465,MXN,Expirado,0,0,SMT010905FL0,SERVICIOS MEDICOS Y TECNICOS SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1886782
